i /I0/d; dc (I) X,i /I0/d; dc (I) Y
0,-1.743005434582689e-12
0.04,6.838151086838247e-07
0.08,8.429241050427333e-07
0.12,9.208729040447858e-07
0.16,9.769580648591585e-07
0.2,1.023160677703057e-06
0.24,1.063705861356396e-06
0.28,1.10059089626705e-06
0.32,1.134929398561961e-06
0.36,1.167410096669826e-06
0.4,1.198490232210846e-06
0.4399999999999999,1.228489455386149e-06
0.4799999999999999,1.257640220243931e-06
0.5199999999999999,1.286116932041826e-06
0.5599999999999999,1.314053809925711e-06
0.6,1.341556351611028e-06
0.64,1.368708975192279e-06
0.68,1.395580276104145e-06
0.7200000000000001,1.422226741631457e-06
0.7600000000000001,1.448695436688336e-06
0.8,1.47502598509169e-06
